model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_r2,cv_r2_std
normal,False,normal,False,stochastic,xavier,0.01,0.07232114248159309,0.8763742620709472,0.010438641904058712
ridge,False,ridge,False,stochastic,xavier,0.01,0.07267729532370418,0.875741402174094,0.01077902459458992
normal,False,normal,False,stochastic,xavier,0.001,0.0726532024395932,0.8757114647386434,0.010629673954609163
normal,False,normal,True,stochastic,xavier,0.001,0.07272544630609677,0.8756427266466378,0.010918094918771663
normal,False,normal,True,stochastic,xavier,0.0001,0.0726978375973385,0.8756320481879826,0.01074833590957182
ridge,False,ridge,False,stochastic,xavier,0.001,0.07271337862639413,0.8756048180431624,0.010645545912558983
ridge,False,ridge,True,stochastic,xavier,0.0001,0.0727571931470824,0.8755267314998927,0.010762511152549628
lasso,False,lasso,False,stochastic,xavier,0.001,0.07288706297270697,0.8753111086079871,0.01073956448233118
lasso,False,lasso,True,stochastic,xavier,0.0001,0.07293048165208653,0.8752337115369958,0.010857322762649233
ridge,False,ridge,True,stochastic,xavier,0.001,0.07295938429466521,0.8752169475746328,0.011268932292180218
normal,False,normal,True,stochastic,zeros,0.0001,0.0729912144728475,0.8750801340689296,0.011273212811000903
normal,False,normal,False,stochastic,zeros,0.001,0.07301668233577804,0.8750371782497279,0.011456475164586671
ridge,False,ridge,True,stochastic,zeros,0.0001,0.073082231885006,0.8749230244535194,0.011252226972358009
ridge,False,ridge,False,stochastic,zeros,0.001,0.07311019000793154,0.8748757749217748,0.011435212570035755
lasso,False,lasso,False,stochastic,xavier,0.01,0.07344770258777303,0.8743978459716629,0.011130317620541029
lasso,False,lasso,True,stochastic,zeros,0.0001,0.07349660603347556,0.8742161124534246,0.011183250362399009
lasso,False,lasso,False,stochastic,zeros,0.001,0.07353240999802621,0.8741550928111691,0.011379339460798674
lasso,False,lasso,True,stochastic,xavier,0.001,0.0736212238347678,0.8740614010252366,0.011625280850614522
normal,False,normal,True,mini-batch,xavier,0.01,0.0746316391510256,0.8723171567316769,0.009120792049760358
ridge,False,ridge,True,mini-batch,xavier,0.01,0.07470748726168647,0.8721831800571571,0.009110509521930214
lasso,False,lasso,True,mini-batch,xavier,0.01,0.07481105195238835,0.8720091084127434,0.009176550399908109
normal,False,normal,True,mini-batch,zeros,0.01,0.07491705946538038,0.8718021142560526,0.011105284945952932
ridge,False,ridge,True,mini-batch,zeros,0.01,0.07500991404187793,0.8716418316246572,0.011054167754924443
normal,False,normal,True,stochastic,zeros,0.001,0.07531850031791452,0.8710542888590085,0.01642869623480131
lasso,False,lasso,True,mini-batch,zeros,0.01,0.07538463145260914,0.8710009451573251,0.010935013378633274
ridge,False,ridge,True,stochastic,zeros,0.001,0.07575974243106726,0.87026458637104,0.01709176740334676
normal,False,normal,False,stochastic,zeros,0.01,0.07651559023717577,0.86899713125093,0.017868723021046133
lasso,False,lasso,True,stochastic,zeros,0.001,0.07657934922728198,0.8688296212144164,0.01781093724672952
ridge,False,ridge,False,stochastic,zeros,0.01,0.07713486962216079,0.8679004937760926,0.01870683092433511
lasso,False,lasso,False,stochastic,zeros,0.01,0.07804049733865123,0.8663160871769255,0.019638493761527848
normal,False,normal,False,stochastic,zeros,0.0001,0.08410342548102982,0.8560004614838498,0.012092577902056326
ridge,False,ridge,False,stochastic,zeros,0.0001,0.08417551458405673,0.8558766867038712,0.01210974576921203
lasso,False,lasso,False,stochastic,zeros,0.0001,0.08447241474371206,0.8553697079552908,0.012057171103322958
lasso,False,lasso,False,stochastic,xavier,0.0001,0.08678136402900724,0.8515475211046301,0.011883596657607316
normal,False,normal,False,stochastic,xavier,0.0001,0.08681812880447393,0.8514883177083018,0.011952868196190923
ridge,False,ridge,False,stochastic,xavier,0.0001,0.08684245617557936,0.8514452524953174,0.011970383283138306
normal,False,normal,False,mini-batch,zeros,0.01,0.08732907302550261,0.8504738999522639,0.012738942234452584
ridge,False,ridge,False,mini-batch,zeros,0.01,0.08739583766515592,0.8503594213899115,0.012749815455172005
normal,False,normal,True,mini-batch,zeros,0.001,0.08739974703961191,0.8503505527833978,0.012745236721200133
ridge,False,ridge,True,mini-batch,zeros,0.001,0.08746081916216861,0.8502457718322842,0.01275865081035279
lasso,False,lasso,False,mini-batch,zeros,0.01,0.08765625424357146,0.8499149221744137,0.012661793523961807
lasso,False,lasso,True,mini-batch,zeros,0.001,0.08770931707091666,0.8498217024496386,0.012666769820859843
lasso,False,lasso,False,mini-batch,xavier,0.01,0.09053279140177468,0.8451127453936713,0.01273108521234491
normal,False,normal,False,mini-batch,xavier,0.01,0.09059857242377514,0.8450030217170283,0.012870018962103089
ridge,False,ridge,False,mini-batch,xavier,0.01,0.0906166034986355,0.8449712817112205,0.012873063186305687
lasso,False,lasso,True,mini-batch,xavier,0.001,0.09074476433224458,0.8447446857765785,0.012976027660720762
normal,False,normal,True,mini-batch,xavier,0.001,0.09082942097833173,0.8446025626445415,0.013128444893097477
ridge,False,ridge,True,mini-batch,xavier,0.001,0.09084027691457112,0.8445831427011068,0.013130605192009606
polynomial,True,normal,True,stochastic,zeros,0.0001,0.09215511229896527,0.8416240080052313,0.0912599313925621
polynomial,True,normal,False,stochastic,zeros,0.001,0.09365579906643093,0.8390291650237127,0.09609195427431326
polynomial,True,normal,True,stochastic,xavier,0.0001,0.09537142325086516,0.8360400469484548,0.10015818489803217
polynomial,True,normal,False,stochastic,xavier,0.001,0.09583974994544386,0.8352318098748711,0.10129332151442033
polynomial,True,normal,True,mini-batch,zeros,0.01,0.12594145329382514,0.7867871100337451,0.04458591157984659
polynomial,True,normal,False,stochastic,zeros,0.0001,0.12850213493294568,0.7787672111008974,0.1722295630403262
polynomial,True,normal,False,mini-batch,zeros,0.01,0.1319189851841039,0.7728852473026844,0.17777315154420537
polynomial,True,normal,True,mini-batch,xavier,0.01,0.13500254702079387,0.7694045812118159,0.03703463756709665
