model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_mse_std,cv_r2,cv_r2_std
polynomial,True,normal,False,stochastic,zeros,0.001,0.060138061678325326,0.0015563659778943702,0.8936927593069243,0.004542510564293939
polynomial,True,normal,True,stochastic,zeros,0.01,0.06028713969839896,0.001442558069845531,0.8934367461787758,0.004242001667503054
polynomial,True,normal,False,stochastic,xavier,0.001,0.06051847883439768,0.001374350698374132,0.8930274368245751,0.004192046890535566
polynomial,True,normal,True,stochastic,xavier,0.01,0.0607392165590573,0.0013807190766620646,0.8926300724072147,0.0043908733636162595
normal,False,normal,True,stochastic,xavier,0.01,0.06785193744903235,0.0039522759211316335,0.8802792506253134,0.0031501202083207263
normal,False,normal,True,stochastic,zeros,0.01,0.06787646880166635,0.003988544943142694,0.8802365502692819,0.003235518850137159
normal,False,normal,False,stochastic,xavier,0.001,0.06790284187608868,0.003963185617650314,0.8801881799260116,0.0032238848119279335
ridge,False,ridge,True,stochastic,xavier,0.01,0.06794337849149604,0.003993483461573915,0.8801198228601944,0.003208598887653919
ridge,False,ridge,True,stochastic,zeros,0.01,0.067975253174887,0.00404391780511043,0.8800649442969986,0.0033168334787376922
ridge,False,ridge,False,stochastic,xavier,0.001,0.06798671666487932,0.004010220450120032,0.8800424625014898,0.0032905621999288143
normal,False,normal,False,stochastic,zeros,0.001,0.06806271830783825,0.004222367061226401,0.8799182801489742,0.0036567486942083137
ridge,False,ridge,False,stochastic,zeros,0.001,0.06815766418844404,0.004281649862786705,0.8797536493123118,0.003744851803070939
lasso,False,lasso,True,stochastic,xavier,0.01,0.06817011124562769,0.0039364147394860384,0.8797168687757072,0.0030746720175093252
lasso,False,lasso,False,stochastic,xavier,0.001,0.06820290287410886,0.003959860092915869,0.8796584584603684,0.003172284611867323
lasso,False,lasso,True,stochastic,zeros,0.01,0.06841666548630619,0.004006989148354979,0.8792859534306977,0.0031268512387667103
lasso,False,lasso,False,stochastic,zeros,0.001,0.06858989713685766,0.004243142018817083,0.8789908832240446,0.003561950321820068
normal,False,normal,False,stochastic,xavier,0.01,0.06865438488014372,0.0016987679569170468,0.8787174077065293,0.0025771208592029393
normal,False,normal,False,stochastic,zeros,0.01,0.06905225998163886,0.003996700033814272,0.8781657327101087,0.0029924714659833834
ridge,False,ridge,False,stochastic,xavier,0.01,0.06903557890181258,0.00189321084319832,0.8780513087963536,0.0026448725174002706
ridge,False,ridge,False,stochastic,zeros,0.01,0.06944886821259293,0.004309103440806009,0.8774813796028818,0.003503168312859253
lasso,False,lasso,False,stochastic,xavier,0.01,0.06979766929203997,0.002124662848004876,0.8767161982196632,0.0026599215768367914
lasso,False,lasso,False,stochastic,zeros,0.01,0.07027225337069076,0.0045242711359367305,0.8760378309599952,0.003812582285057642
polynomial,True,normal,True,stochastic,zeros,0.001,0.07268420109031473,0.002708741020758897,0.8715239959000766,0.006382551818694109
polynomial,True,normal,False,stochastic,zeros,0.0001,0.07270015422688697,0.002700294847010351,0.8714970883959687,0.006345539719528211
polynomial,True,normal,False,mini-batch,zeros,0.01,0.07490555803537018,0.0029504515295283237,0.8676003375261994,0.006750468964528821
polynomial,True,normal,False,mini-batch,xavier,0.01,0.07673541812338247,0.004248560779106263,0.8643947353922314,0.00818950077860598
polynomial,True,normal,True,stochastic,xavier,0.001,0.07723278532081763,0.006493878591316749,0.8637659619346412,0.008348302930212131
polynomial,True,normal,False,stochastic,xavier,0.0001,0.07724445849512147,0.006431459859159639,0.8637437773993286,0.008225721708011249
