model_type,polynomial,regularization,use_momentum,method,initialization,learning_rate,cv_mse,cv_mse_std,cv_r2,cv_r2_std
polynomial,True,normal,False,stochastic,zeros,0.001,0.060138061678325326,0.0015563659778943671,0.8936927593069243,0.004542510564293939
polynomial,True,normal,True,stochastic,zeros,0.0001,0.06020560046684455,0.0015084293341464615,0.8935663598063289,0.004653205623444055
polynomial,True,normal,True,stochastic,xavier,0.0001,0.06047623788393179,0.001500844477315132,0.8931106901155411,0.004111515441403575
polynomial,True,normal,False,stochastic,xavier,0.001,0.06053077495253355,0.0013719784173896574,0.8930064504477336,0.0041710082703502
normal,False,normal,False,stochastic,xavier,0.001,0.06790382911263124,0.00396293075457014,0.8801864607166616,0.0032221916370368826
normal,False,normal,True,stochastic,xavier,0.0001,0.06798831548319555,0.004132886865193923,0.8800461963506038,0.003494194758879045
ridge,False,ridge,False,stochastic,xavier,0.001,0.06798721347138897,0.004009996441537113,0.8800416138717619,0.00328886387795293
normal,False,normal,False,stochastic,zeros,0.001,0.06806271830783825,0.004222367061226401,0.8799182801489742,0.0036567486942083137
ridge,False,ridge,True,stochastic,xavier,0.0001,0.06807092398786171,0.004178226081906532,0.8799026598326888,0.0035575386802972077
normal,False,normal,True,stochastic,zeros,0.0001,0.06808124910028104,0.004230487267804759,0.8798854218460447,0.003687293331401938
ridge,False,ridge,False,stochastic,zeros,0.001,0.06815766418844404,0.004281649862786707,0.8797536493123118,0.003744851803070939
ridge,False,ridge,True,stochastic,zeros,0.0001,0.0681750749960236,0.004288294396281922,0.8797227613505921,0.003770439040212747
lasso,False,lasso,False,stochastic,xavier,0.001,0.06820021061054893,0.003959886748532136,0.8796632596804711,0.0031710620487218322
lasso,False,lasso,True,stochastic,xavier,0.0001,0.06827572419742087,0.004110885623185567,0.8795379658486656,0.0034099696352624456
normal,False,normal,True,mini-batch,zeros,0.01,0.06850313244323544,0.003069786273887937,0.8790637045699532,0.002605607547618735
lasso,False,lasso,False,stochastic,zeros,0.001,0.06858989713685766,0.004243142018817086,0.8789908832240446,0.003561950321820068
lasso,False,lasso,True,stochastic,zeros,0.0001,0.06860584089744834,0.004249083581245383,0.8789626427405812,0.00358466500994846
ridge,False,ridge,True,mini-batch,zeros,0.01,0.06858438223762062,0.0031218289302115012,0.8789221071676669,0.0026910911985192024
normal,False,normal,True,mini-batch,xavier,0.01,0.06864054310203657,0.0028389672773698207,0.8788053793489048,0.002546004509922595
normal,False,normal,False,stochastic,xavier,0.01,0.06865365232606804,0.0016991940900093247,0.878718746488604,0.0025759127279469714
ridge,False,ridge,True,mini-batch,xavier,0.01,0.06871726115408314,0.0029130215880823385,0.8786722702475126,0.002669660353223593
